transactionId,date,amount,currency,status
TXN0049,2025-06-25,978.44,EUR,PENDING
TXN0050,2025-06-21,3562.02,USD,PENDING
TXN0051,2025-06-24,910.49,INR,PENDING
TXN0052,2025-06-19,1522.14,USD,SUCCESS
TXN0053,2025-06-24,4831.38,EUR,FAILED
TXN0054,2025-06-27,100.97,INR,SUCCESS
TXN0055,2025-06-23,2883.19,EUR,PENDING
TXN0056,2025-06-26,4428.16,USD,PENDING
TXN0057,2025-06-18,4890.55,INR,PENDING
TXN0058,2025-06-25,263.74,INR,FAILED
TXN0059,2025-06-27,3041.36,USD,SUCCESS
TXN0060,2025-06-21,3044.46,USD,FAILED
TXN0061,2025-06-17,3188.47,EUR,FAILED
TXN0062,2025-06-26,3773.64,USD,FAILED
TXN0063,2025-06-17,3167.51,INR,SUCCESS
TXN0064,2025-06-18,1715.09,INR,FAILED
TXN0065,2025-06-18,990.73,INR,SUCCESS
TXN0066,2025-06-23,4740.37,EUR,FAILED
TXN0067,2025-06-22,4723.3,INR,FAILED
TXN0068,2025-06-22,4874.56,USD,FAILED
TXN0069,2025-06-27,3794.17,USD,SUCCESS
TXN0070,2025-06-21,1558.48,EUR,SUCCESS
TXN0071,2025-06-18,933.23,USD,FAILED
TXN0072,2025-06-22,939.71,USD,PENDING
TXN0073,2025-06-21,4329.34,USD,PENDING
TXN0074,2025-06-21,2056.91,EUR,FAILED
TXN0075,2025-06-17,759.12,INR,FAILED
TXN0076,2025-06-26,4124.26,INR,PENDING
TXN0077,2025-06-20,773.62,INR,PENDING
TXN0078,2025-06-22,2343.24,USD,FAILED
TXN0079,2025-06-18,2241.21,USD,FAILED
TXN0080,2025-06-17,2387.17,EUR,FAILED
TXN0081,2025-06-19,1937.6,EUR,SUCCESS
TXN0082,2025-06-24,3306.59,EUR,FAILED
TXN0083,2025-06-25,467.49,INR,PENDING
TXN0084,2025-06-20,3917.93,USD,FAILED
TXN0085,2025-06-22,2414.69,USD,FAILED
TXN0086,2025-06-27,464.92,USD,SUCCESS
TXN0087,2025-06-19,1511.43,INR,FAILED
TXN0088,2025-06-22,4309.15,INR,FAILED
TXN0089,2025-06-17,1764.5,EUR,FAILED
TXN0090,2025-06-21,2581.31,EUR,FAILED
TXN0091,2025-06-22,4147.41,USD,FAILED
TXN0092,2025-06-21,464.44,USD,SUCCESS
TXN0093,2025-06-20,2863.42,USD,PENDING
TXN0094,2025-06-18,2964.81,USD,PENDING
TXN0095,2025-06-19,2138.98,INR,PENDING
TXN0096,2025-06-24,3207.63,INR,SUCCESS
TXN0097,2025-06-27,4681.86,INR,PENDING
TXN0098,2025-06-19,4321.93,EUR,SUCCESS
TXN0099,2025-06-26,2481.3,USD,PENDING
TXN0100,2025-06-20,3966.91,EUR,PENDING
TXN0101,2025-06-26,1013.79,EUR,PENDING
TXN0102,2025-06-27,665.41,USD,SUCCESS
TXN0103,2025-06-25,2490.08,INR,SUCCESS
TXN0104,2025-06-23,4157.03,USD,FAILED
TXN0105,2025-06-25,3440.78,USD,PENDING
TXN0106,2025-06-27,2137.57,INR,PENDING
TXN0107,2025-06-25,494.82,INR,SUCCESS
TXN0108,2025-06-22,1617.71,EUR,FAILED
TXN0109,2025-06-17,4105.33,INR,PENDING
TXN0110,2025-06-21,1678.22,EUR,PENDING
TXN0111,2025-06-27,1460.51,USD,SUCCESS
TXN0112,2025-06-22,3882.91,INR,FAILED
TXN0113,2025-06-17,221.77,INR,FAILED
TXN0114,2025-06-19,1469.88,USD,PENDING
TXN0115,2025-06-19,2679.63,EUR,SUCCESS
TXN0116,2025-06-24,1903.16,INR,FAILED
TXN0117,2025-06-19,3087.78,INR,SUCCESS
TXN0118,2025-06-17,4793.71,EUR,SUCCESS
TXN0119,2025-06-22,719.81,EUR,SUCCESS
TXN0120,2025-06-18,3729.61,INR,PENDING
TXN0121,2025-06-20,591.74,USD,FAILED
TXN0122,2025-06-24,1582.46,EUR,SUCCESS
TXN0123,2025-06-23,1456.26,INR,FAILED
TXN0124,2025-06-17,2123.26,USD,FAILED
TXN0125,2025-06-22,3508.61,USD,FAILED
TXN0126,2025-06-23,971.41,INR,SUCCESS
TXN0127,2025-06-22,1844.46,INR,SUCCESS
TXN0128,2025-06-17,697.93,INR,PENDING
TXN0129,2025-06-27,936.57,USD,SUCCESS
TXN0130,2025-06-24,1191.4,USD,FAILED
TXN0131,2025-06-23,4666.01,USD,SUCCESS
TXN0132,2025-06-20,197.15,USD,PENDING
TXN0133,2025-06-23,4878.7,EUR,PENDING
TXN0134,2025-06-21,558.08,EUR,PENDING
TXN0135,2025-06-21,1168.17,INR,FAILED
TXN0136,2025-06-27,1872.06,EUR,PENDING
TXN0137,2025-06-21,266.83,USD,PENDING
TXN0138,2025-06-20,1256.5,USD,PENDING
TXN0139,2025-06-21,1646.75,EUR,PENDING
TXN0140,2025-06-25,3879.62,EUR,FAILED
TXN0141,2025-06-25,3137.09,INR,FAILED
TXN0142,2025-06-24,1984.71,INR,SUCCESS
TXN0143,2025-06-20,1095.75,INR,FAILED
TXN0144,2025-06-25,2170.18,USD,SUCCESS
TXN0145,2025-06-19,1043.61,EUR,SUCCESS
TXN0146,2025-06-25,1722.82,USD,FAILED
TXN0147,2025-06-21,2489.12,INR,PENDING
TXN0148,2025-06-18,2339.27,USD,SUCCESS
TXN0149,2025-06-21,4238.34,EUR,FAILED
TXN0150,2025-06-26,4592.76,INR,SUCCESS
TXN0151,2025-06-26,145.73,INR,SUCCESS
TXN0152,2025-06-20,2345.17,EUR,PENDING
TXN0153,2025-06-22,2735.21,EUR,PENDING
TXN0154,2025-06-24,2741.25,INR,PENDING
TXN0155,2025-06-25,608.98,USD,PENDING
TXN0156,2025-06-20,1261.6,EUR,FAILED
TXN0157,2025-06-25,4947.43,INR,PENDING
TXN0158,2025-06-21,2492.71,EUR,PENDING
TXN0159,2025-06-17,1853.39,USD,SUCCESS
TXN0160,2025-06-19,4594.97,USD,FAILED
TXN0161,2025-06-27,3424.16,USD,PENDING
TXN0162,2025-06-21,4306.41,EUR,PENDING
TXN0163,2025-06-26,1635.73,INR,SUCCESS
TXN0164,2025-06-20,168.32,USD,PENDING
TXN0165,2025-06-20,2159.1,INR,PENDING
TXN0166,2025-06-21,1529.78,EUR,SUCCESS
TXN0167,2025-06-19,2260.32,INR,FAILED
TXN0168,2025-06-25,4238.61,USD,FAILED
TXN0169,2025-06-17,522.85,INR,SUCCESS
TXN0170,2025-06-24,3885.57,EUR,FAILED
TXN0171,2025-06-19,2674.09,INR,SUCCESS
TXN0172,2025-06-20,3061.6,INR,FAILED
TXN0173,2025-06-17,817.61,EUR,PENDING
TXN0174,2025-06-18,865.53,EUR,SUCCESS
TXN0175,2025-06-18,939.84,USD,FAILED
TXN0176,2025-06-18,2130.85,USD,FAILED
TXN0177,2025-06-19,3646.66,EUR,FAILED
TXN0178,2025-06-24,1687.52,EUR,SUCCESS
TXN0179,2025-06-20,1079.9,EUR,PENDING
TXN0180,2025-06-18,4828.29,INR,FAILED
TXN0181,2025-06-20,4246.86,INR,SUCCESS
TXN0182,2025-06-25,3842.02,EUR,PENDING
TXN0183,2025-06-18,3643.55,EUR,SUCCESS
TXN0184,2025-06-19,4335.36,USD,SUCCESS
TXN0185,2025-06-23,2336.17,USD,FAILED
TXN0186,2025-06-27,1278.56,INR,SUCCESS
TXN0187,2025-06-24,3652.37,USD,FAILED
TXN0188,2025-06-19,3318.14,EUR,FAILED
TXN0189,2025-06-23,3031.68,USD,SUCCESS
TXN0190,2025-06-19,3482.52,USD,PENDING
TXN0191,2025-06-23,1675.41,USD,SUCCESS
TXN0192,2025-06-27,1585.44,EUR,PENDING
TXN0193,2025-06-24,354.41,INR,PENDING
TXN0194,2025-06-22,963.81,EUR,FAILED
TXN0195,2025-06-23,3633.16,USD,SUCCESS
TXN0196,2025-06-23,4430.41,USD,SUCCESS
TXN0197,2025-06-26,1637.54,USD,PENDING
TXN0198,2025-06-19,3692.38,INR,PENDING
TXN0199,2025-06-23,3371.93,INR,PENDING
TXN0200,2025-06-21,2347.0,EUR,SUCCESS
TXN0201,2025-06-23,353.57,INR,PENDING
TXN0202,2025-06-20,434.23,INR,PENDING
TXN0203,2025-06-26,1967.16,USD,PENDING
TXN0204,2025-06-26,169.77,EUR,PENDING
TXN0205,2025-06-17,421.32,INR,PENDING
TXN0206,2025-06-19,1032.16,USD,FAILED
TXN0207,2025-06-19,2246.76,INR,PENDING
TXN0208,2025-06-24,3675.06,EUR,FAILED
TXN0209,2025-06-20,1196.03,INR,SUCCESS
TXN0210,2025-06-17,169.04,EUR,PENDING
TXN0211,2025-06-21,921.03,USD,SUCCESS
TXN0212,2025-06-19,1914.54,INR,SUCCESS
TXN0213,2025-06-20,2189.49,EUR,FAILED
TXN0214,2025-06-19,141.31,EUR,FAILED
TXN0215,2025-06-26,2499.84,INR,FAILED
TXN0216,2025-06-19,3297.15,EUR,PENDING
TXN0217,2025-06-20,2096.06,INR,PENDING
TXN0218,2025-06-26,2986.61,INR,SUCCESS
TXN0219,2025-06-21,876.0,EUR,PENDING
TXN0220,2025-06-19,3717.97,EUR,FAILED
TXN0221,2025-06-20,1393.87,USD,SUCCESS
TXN0222,2025-06-25,370.28,INR,SUCCESS
TXN0223,2025-06-19,538.86,EUR,SUCCESS
TXN0224,2025-06-22,2459.78,INR,FAILED
TXN0225,2025-06-23,798.39,USD,SUCCESS
TXN0226,2025-06-20,3975.06,EUR,SUCCESS
TXN0227,2025-06-26,4341.28,EUR,FAILED
TXN0228,2025-06-17,3027.96,USD,PENDING
TXN0229,2025-06-21,2505.56,USD,FAILED
TXN0230,2025-06-27,2428.64,EUR,PENDING
TXN0231,2025-06-19,4358.15,EUR,SUCCESS
TXN0232,2025-06-24,4216.59,INR,PENDING
TXN0233,2025-06-26,1281.09,USD,FAILED
TXN0234,2025-06-26,4340.05,USD,FAILED
TXN0235,2025-06-25,2665.16,INR,FAILED
TXN0236,2025-06-22,1312.15,USD,FAILED
TXN0237,2025-06-23,2489.81,INR,PENDING
TXN0238,2025-06-20,3760.54,EUR,FAILED
TXN0239,2025-06-17,658.37,USD,PENDING
TXN0240,2025-06-26,3111.89,INR,SUCCESS
TXN0241,2025-06-22,111.25,INR,PENDING
TXN0242,2025-06-26,2823.46,EUR,PENDING
TXN0243,2025-06-17,3060.51,EUR,PENDING
TXN0244,2025-06-25,2702.96,USD,PENDING
TXN0245,2025-06-26,2279.74,EUR,SUCCESS
TXN0246,2025-06-19,2345.58,EUR,PENDING
TXN0247,2025-06-19,1329.25,EUR,PENDING
TXN0248,2025-06-23,2507.02,EUR,FAILED
TXN0249,2025-06-20,1090.77,EUR,FAILED
TXN0250,2025-06-22,1453.49,USD,PENDING
TXN0251,2025-06-21,3170.89,USD,SUCCESS
TXN0252,2025-06-27,2843.97,USD,FAILED
TXN0253,2025-06-25,1099.18,USD,FAILED
TXN0254,2025-06-19,4365.02,INR,SUCCESS
TXN0255,2025-06-20,2879.98,EUR,FAILED
TXN0256,2025-06-23,2639.05,INR,FAILED
TXN0257,2025-06-23,4011.92,INR,PENDING
TXN0258,2025-06-27,3126.95,USD,FAILED
TXN0259,2025-06-17,3344.48,EUR,FAILED
TXN0260,2025-06-17,1560.06,USD,PENDING
TXN0261,2025-06-19,4663.52,INR,PENDING
TXN0262,2025-06-23,1387.15,EUR,PENDING
TXN0263,2025-06-18,4852.69,INR,SUCCESS
TXN0264,2025-06-18,4090.7,EUR,SUCCESS
TXN0265,2025-06-26,2645.45,USD,SUCCESS
TXN0266,2025-06-26,641.44,INR,SUCCESS
TXN0267,2025-06-24,1427.1,EUR,PENDING
TXN0268,2025-06-27,1428.89,EUR,FAILED
TXN0269,2025-06-17,3536.41,EUR,PENDING
TXN0270,2025-06-18,982.74,USD,FAILED
TXN0271,2025-06-22,2695.54,USD,SUCCESS
TXN0272,2025-06-21,1501.58,EUR,SUCCESS
TXN0273,2025-06-25,2659.61,EUR,SUCCESS
TXN0274,2025-06-22,1713.08,EUR,FAILED
TXN0275,2025-06-19,4810.82,USD,SUCCESS
TXN0276,2025-06-25,3297.88,INR,FAILED
TXN0277,2025-06-20,3460.75,INR,FAILED
TXN0278,2025-06-27,303.93,EUR,PENDING
TXN0279,2025-06-22,354.36,USD,FAILED
TXN0280,2025-06-24,1261.14,USD,PENDING
TXN0281,2025-06-27,2354.68,USD,FAILED
TXN0282,2025-06-19,527.34,EUR,SUCCESS
TXN0283,2025-06-22,3501.31,INR,SUCCESS
TXN0284,2025-06-24,1014.55,EUR,PENDING
TXN0285,2025-06-22,1556.5,USD,PENDING
TXN0286,2025-06-20,1252.58,EUR,PENDING
TXN0287,2025-06-22,3637.35,USD,SUCCESS
TXN0288,2025-06-22,2539.71,USD,PENDING
TXN0289,2025-06-20,2857.78,USD,FAILED
TXN0290,2025-06-17,3894.42,INR,FAILED
TXN0291,2025-06-18,207.01,USD,PENDING
TXN0292,2025-06-21,3554.95,INR,PENDING
TXN0293,2025-06-17,115.19,USD,SUCCESS
TXN0294,2025-06-21,3435.01,INR,FAILED
TXN0295,2025-06-20,4161.12,INR,PENDING
TXN0296,2025-06-23,346.23,INR,SUCCESS
TXN0297,2025-06-17,3101.94,INR,SUCCESS
TXN0298,2025-06-24,3294.32,INR,PENDING
TXN0299,2025-06-21,2743.58,EUR,SUCCESS
TXN0300,2025-06-24,4949.23,USD,PENDING
TXN0301,2025-06-20,4543.89,INR,FAILED
TXN0302,2025-06-21,4957.1,INR,PENDING
TXN0303,2025-06-27,4402.83,EUR,PENDING
TXN0304,2025-06-24,3241.91,INR,PENDING
TXN0305,2025-06-17,2910.4,EUR,FAILED
TXN0306,2025-06-20,641.08,EUR,FAILED
TXN0307,2025-06-26,2097.84,INR,PENDING
TXN0308,2025-06-25,671.58,INR,PENDING
TXN0309,2025-06-24,1625.49,INR,SUCCESS
TXN0310,2025-06-20,2816.2,EUR,SUCCESS
TXN0311,2025-06-18,4653.99,INR,FAILED
TXN0312,2025-06-20,1997.93,USD,SUCCESS
TXN0313,2025-06-23,3400.48,INR,FAILED
TXN0314,2025-06-23,1718.96,USD,SUCCESS
TXN0315,2025-06-18,713.49,INR,PENDING
TXN0316,2025-06-25,3010.91,INR,PENDING
TXN0317,2025-06-23,4040.49,USD,FAILED
TXN0318,2025-06-23,2085.52,INR,PENDING
TXN0319,2025-06-25,4103.17,USD,PENDING
TXN0320,2025-06-18,653.75,USD,FAILED
TXN0321,2025-06-27,2854.14,INR,PENDING
TXN0322,2025-06-25,4319.34,INR,FAILED
TXN0323,2025-06-18,1280.93,USD,SUCCESS
TXN0324,2025-06-21,2142.29,EUR,SUCCESS
TXN0325,2025-06-19,702.46,INR,SUCCESS
TXN0326,2025-06-21,4888.41,USD,FAILED
TXN0327,2025-06-24,3802.39,EUR,SUCCESS
TXN0328,2025-06-18,1192.89,INR,PENDING
TXN0329,2025-06-20,3227.96,USD,PENDING
TXN0330,2025-06-19,2883.16,EUR,PENDING
TXN0331,2025-06-26,1033.91,INR,PENDING
TXN0332,2025-06-25,3661.25,USD,PENDING
TXN0333,2025-06-23,2867.79,USD,FAILED
TXN0334,2025-06-26,4771.1,EUR,SUCCESS
TXN0335,2025-06-25,4338.5,USD,PENDING
TXN0336,2025-06-27,3287.17,USD,FAILED
TXN0337,2025-06-25,1251.37,INR,FAILED
TXN0338,2025-06-23,682.94,EUR,PENDING
TXN0339,2025-06-19,2605.64,INR,FAILED
TXN0340,2025-06-22,3546.7,INR,SUCCESS
TXN0341,2025-06-19,443.19,INR,FAILED
TXN0342,2025-06-19,4307.02,INR,FAILED
TXN0343,2025-06-19,4135.28,EUR,PENDING
TXN0344,2025-06-25,4018.46,USD,FAILED
TXN0345,2025-06-18,871.37,EUR,SUCCESS
TXN0346,2025-06-22,3919.26,EUR,FAILED
TXN0347,2025-06-17,638.49,INR,PENDING
TXN0348,2025-06-25,4000.33,USD,SUCCESS
TXN0349,2025-06-20,525.52,EUR,SUCCESS
TXN0350,2025-06-18,4457.27,EUR,PENDING
TXN0351,2025-06-19,3917.09,USD,SUCCESS
TXN0352,2025-06-19,785.77,EUR,SUCCESS
TXN0353,2025-06-19,406.29,EUR,PENDING
TXN0354,2025-06-22,758.05,USD,FAILED
TXN0355,2025-06-27,2123.93,INR,FAILED
TXN0356,2025-06-20,2920.34,USD,PENDING
TXN0357,2025-06-22,1876.01,INR,SUCCESS
TXN0358,2025-06-17,1020.9,EUR,FAILED
TXN0359,2025-06-25,3766.06,INR,FAILED
TXN0360,2025-06-20,3131.81,INR,PENDING
TXN0361,2025-06-21,2425.4,USD,FAILED
TXN0362,2025-06-26,3338.77,USD,SUCCESS
TXN0363,2025-06-17,4235.49,INR,PENDING
TXN0364,2025-06-21,2418.61,INR,PENDING
TXN0365,2025-06-25,4418.08,EUR,SUCCESS
TXN0366,2025-06-18,1708.6,USD,SUCCESS
TXN0367,2025-06-22,3268.12,INR,PENDING
TXN0368,2025-06-26,2595.97,INR,FAILED
TXN0369,2025-06-22,3272.94,INR,FAILED
TXN0370,2025-06-19,3606.38,EUR,FAILED
TXN0371,2025-06-22,3700.95,USD,FAILED
TXN0372,2025-06-17,3048.43,USD,FAILED
TXN0373,2025-06-25,4866.58,USD,SUCCESS
TXN0374,2025-06-27,351.72,INR,SUCCESS
TXN0375,2025-06-26,2001.57,USD,PENDING
TXN0376,2025-06-20,650.04,EUR,FAILED
TXN0377,2025-06-26,4738.55,INR,FAILED
TXN0378,2025-06-21,4641.46,INR,FAILED
TXN0379,2025-06-18,2975.62,INR,FAILED
TXN0380,2025-06-27,1053.12,EUR,SUCCESS
TXN0381,2025-06-21,4578.93,EUR,PENDING
TXN0382,2025-06-19,1803.76,USD,SUCCESS
TXN0383,2025-06-27,4962.57,EUR,SUCCESS
TXN0384,2025-06-24,1255.68,EUR,PENDING
TXN0385,2025-06-21,567.65,INR,SUCCESS
TXN0386,2025-06-25,3201.78,EUR,PENDING
TXN0387,2025-06-27,4788.24,INR,SUCCESS
TXN0388,2025-06-19,686.0,EUR,SUCCESS
TXN0389,2025-06-22,3567.29,USD,PENDING
TXN0390,2025-06-27,1176.48,USD,SUCCESS
TXN0391,2025-06-21,4579.42,EUR,FAILED
TXN0392,2025-06-19,628.91,INR,SUCCESS
TXN0393,2025-06-17,1359.96,USD,FAILED
TXN0394,2025-06-22,1780.18,INR,PENDING
TXN0395,2025-06-26,1745.88,INR,PENDING
TXN0396,2025-06-19,1450.43,EUR,PENDING
TXN0397,2025-06-19,2150.7,USD,PENDING
TXN0398,2025-06-20,2095.02,EUR,SUCCESS
TXN0399,2025-06-23,2264.19,EUR,PENDING
TXN0400,2025-06-21,4413.65,EUR,PENDING
TXN0401,2025-06-18,3046.88,EUR,PENDING
TXN0402,2025-06-26,427.74,USD,FAILED
TXN0403,2025-06-27,354.15,USD,SUCCESS
TXN0404,2025-06-19,4865.35,EUR,PENDING
TXN0405,2025-06-27,4995.03,USD,FAILED
TXN0406,2025-06-25,3772.31,INR,FAILED
TXN0407,2025-06-22,4920.0,EUR,SUCCESS
TXN0408,2025-06-17,4340.08,EUR,SUCCESS
TXN0409,2025-06-20,3849.05,USD,SUCCESS
TXN0410,2025-06-17,4624.32,EUR,SUCCESS
TXN0411,2025-06-27,3463.16,INR,FAILED
TXN0412,2025-06-26,1635.15,INR,PENDING
TXN0413,2025-06-26,4106.82,INR,FAILED
TXN0414,2025-06-25,530.96,INR,FAILED
TXN0415,2025-06-23,2375.01,INR,FAILED
TXN0416,2025-06-18,4340.55,INR,SUCCESS
TXN0417,2025-06-26,3787.15,EUR,FAILED
TXN0418,2025-06-23,465.4,INR,PENDING
TXN0419,2025-06-20,2807.55,USD,SUCCESS
TXN0420,2025-06-17,2300.13,EUR,PENDING
TXN0421,2025-06-21,2399.62,INR,SUCCESS
TXN0422,2025-06-19,2041.64,USD,SUCCESS
TXN0423,2025-06-26,2664.36,EUR,PENDING
TXN0424,2025-06-22,1084.9,INR,PENDING
TXN0425,2025-06-25,1996.98,USD,PENDING
TXN0426,2025-06-23,3479.13,EUR,FAILED
TXN0427,2025-06-20,3350.45,EUR,PENDING
TXN0428,2025-06-18,2700.58,EUR,PENDING
TXN0429,2025-06-25,2419.83,EUR,SUCCESS
TXN0430,2025-06-23,3783.71,USD,PENDING
TXN0431,2025-06-25,342.12,INR,PENDING
TXN0432,2025-06-19,3673.27,INR,SUCCESS
TXN0433,2025-06-26,4583.42,USD,PENDING
TXN0434,2025-06-24,1292.86,INR,FAILED
TXN0435,2025-06-26,4664.81,EUR,SUCCESS
TXN0436,2025-06-23,459.73,INR,PENDING
TXN0437,2025-06-22,4521.02,EUR,SUCCESS
TXN0438,2025-06-27,4846.0,USD,SUCCESS
TXN0439,2025-06-26,495.67,INR,PENDING
TXN0440,2025-06-19,3436.11,INR,FAILED
TXN0441,2025-06-17,4592.51,EUR,SUCCESS
TXN0442,2025-06-19,2864.43,EUR,PENDING
TXN0443,2025-06-22,1961.52,INR,SUCCESS
TXN0444,2025-06-20,1699.15,USD,SUCCESS
TXN0445,2025-06-27,4547.25,INR,SUCCESS
TXN0446,2025-06-18,2706.51,USD,FAILED
TXN0447,2025-06-20,1627.04,EUR,SUCCESS
TXN0448,2025-06-20,4049.29,INR,PENDING
TXN0449,2025-06-22,287.08,INR,PENDING
TXN0450,2025-06-19,1054.59,INR,SUCCESS
TXN0451,2025-06-26,3031.06,EUR,FAILED
TXN0452,2025-06-17,4742.78,INR,FAILED
TXN0453,2025-06-23,2413.95,USD,PENDING
TXN0454,2025-06-21,1862.36,EUR,SUCCESS
TXN0455,2025-06-25,4239.14,INR,SUCCESS
TXN0456,2025-06-17,2192.57,INR,SUCCESS
TXN0457,2025-06-17,3019.01,INR,SUCCESS
TXN0458,2025-06-24,1619.57,USD,FAILED
TXN0459,2025-06-27,1512.89,INR,PENDING
TXN0460,2025-06-25,2912.17,EUR,PENDING
TXN0461,2025-06-25,4893.71,USD,PENDING
TXN0462,2025-06-21,2180.03,EUR,SUCCESS
TXN0463,2025-06-23,252.68,INR,SUCCESS
TXN0464,2025-06-19,3723.9,INR,PENDING
TXN0465,2025-06-21,3705.51,EUR,PENDING
TXN0466,2025-06-27,2098.44,USD,PENDING
TXN0467,2025-06-18,3853.78,INR,FAILED
TXN0468,2025-06-27,3212.55,INR,PENDING
TXN0469,2025-06-19,3218.31,USD,FAILED
TXN0470,2025-06-23,802.27,INR,FAILED
TXN0471,2025-06-23,1482.46,USD,SUCCESS
TXN0472,2025-06-27,2919.28,USD,FAILED
TXN0473,2025-06-21,4028.93,INR,FAILED
TXN0474,2025-06-18,1731.82,INR,FAILED
TXN0475,2025-06-20,2503.07,INR,FAILED
TXN0476,2025-06-20,1342.09,INR,FAILED
TXN0477,2025-06-24,1928.6,USD,SUCCESS
TXN0478,2025-06-26,4810.72,INR,PENDING
TXN0479,2025-06-20,3511.1,USD,SUCCESS
TXN0480,2025-06-17,4188.17,USD,SUCCESS
TXN0481,2025-06-25,1615.32,USD,FAILED
TXN0482,2025-06-22,3878.71,USD,FAILED
TXN0483,2025-06-25,730.04,USD,SUCCESS
TXN0484,2025-06-17,2549.43,INR,PENDING
TXN0485,2025-06-17,1893.28,EUR,PENDING
TXN0486,2025-06-23,1518.43,EUR,PENDING
TXN0487,2025-06-25,4126.72,INR,FAILED
TXN0488,2025-06-23,2868.63,INR,FAILED
TXN0489,2025-06-19,3163.19,EUR,PENDING
TXN0490,2025-06-17,972.23,INR,PENDING
TXN0491,2025-06-20,861.97,EUR,PENDING
TXN0492,2025-06-26,261.2,INR,FAILED
TXN0493,2025-06-22,1634.28,EUR,FAILED
TXN0494,2025-06-24,2659.26,USD,PENDING
TXN0495,2025-06-18,4446.6,INR,PENDING
TXN0496,2025-06-20,4975.26,USD,PENDING
TXN0497,2025-06-24,3639.26,INR,SUCCESS
TXN0498,2025-06-21,3741.37,INR,SUCCESS
TXN0499,2025-06-18,4723.52,EUR,FAILED
TXN0500,2025-06-26,1889.95,INR,SUCCESS
TXN0501,2025-06-25,3061.99,INR,PENDING
TXN0502,2025-06-18,1167.2,USD,FAILED
TXN0503,2025-06-18,3124.67,EUR,FAILED
TXN0504,2025-06-22,4225.87,INR,SUCCESS
TXN0505,2025-06-24,2891.95,EUR,SUCCESS
TXN0506,2025-06-24,3825.49,EUR,PENDING
TXN0507,2025-06-23,3914.05,INR,SUCCESS
TXN0508,2025-06-17,1749.79,USD,SUCCESS
TXN0509,2025-06-27,2875.31,INR,SUCCESS
TXN0510,2025-06-25,2267.69,INR,FAILED
TXN0511,2025-06-21,2837.9,INR,PENDING
TXN0512,2025-06-22,1591.81,EUR,PENDING
TXN0513,2025-06-25,1542.13,EUR,FAILED
TXN0514,2025-06-21,4798.76,USD,PENDING
TXN0515,2025-06-25,2804.45,INR,FAILED
TXN0516,2025-06-20,470.7,INR,FAILED
TXN0517,2025-06-21,2161.44,EUR,SUCCESS
TXN0518,2025-06-17,1412.39,INR,FAILED
TXN0519,2025-06-23,2590.8,INR,PENDING
TXN0520,2025-06-18,4305.06,USD,SUCCESS
TXN0521,2025-06-26,832.16,USD,PENDING
